#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.389806    0.389806           0
           2    0.383033     0.38642  0.00239454
           3    0.385667    0.386169  0.00160945
           4    0.390171    0.387169  0.00148591
           5     0.37551    0.384837  0.00240074
           6    0.396338    0.386754  0.00265786
           7    0.385176    0.386529  0.00228771
           8    0.381776    0.385935  0.00207745
           9    0.381113    0.385399  0.00191445
          10    0.392792    0.386138   0.0018603
          11    0.386452    0.386167   0.0016914
          12    0.379326    0.385597  0.00164372
          13    0.388502     0.38582   0.0015324
          14    0.384884    0.385753  0.00142441
          15     0.39534    0.386392  0.00146583
          16    0.390939    0.386677   0.0014015
          17    0.386684    0.386677  0.00131905
          18    0.390897    0.386911  0.00126644
          19    0.393019    0.387233  0.00123991
          20    0.382039    0.386973   0.0012048
