#   N_BLOCK:  ACCEPTANCE:
           1    0.295254
           2    0.295217
           3    0.295439
           4    0.295722
           5    0.295641
           6    0.295413
           7    0.295336
           8    0.295203
           9    0.295283
          10    0.295058
          11    0.294999
          12    0.294991
          13    0.295027
          14    0.295014
          15    0.295084
          16    0.295069
          17    0.295069
          18    0.295104
          19     0.29516
          20    0.295031
