#   N_BLOCK:  ACCEPTANCE:
           1    0.312644
           2    0.312292
           3    0.312494
           4    0.312649
           5    0.312392
           6     0.31219
           7    0.312153
           8    0.312101
           9    0.312106
          10    0.312036
          11    0.312037
          12    0.311986
          13    0.311978
          14    0.311911
          15    0.311927
          16    0.311863
          17    0.311921
          18     0.31193
          19    0.311946
          20    0.311857
