#   N_BLOCK:  ACCEPTANCE:
           1     0.44071
           2    0.440581
           3     0.44046
           4    0.440225
           5    0.440177
           6    0.440282
           7    0.440247
           8    0.440229
           9    0.440203
          10    0.440263
          11    0.440263
          12    0.440323
          13    0.440313
          14    0.440319
          15    0.440355
          16    0.440325
          17    0.440351
          18    0.440341
          19    0.440345
          20    0.440383
