#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439294    0.439294           0
           2    0.433417    0.436355  0.00207784
           3    0.432812    0.435174  0.00168781
           4    0.434461    0.434996  0.00127523
           5    0.432404    0.434477  0.00112057
           6     0.43741    0.434966  0.00103494
           7    0.446224    0.436575  0.00173317
           8    0.435286    0.436413  0.00152399
           9    0.436217    0.436392  0.00135481
          10    0.427204    0.435473  0.00149885
          11     0.43611    0.435531  0.00136371
          12    0.431665    0.435209  0.00128756
          13    0.431986    0.434961  0.00121214
          14    0.430204    0.434621  0.00117222
          15    0.431146    0.434389  0.00111672
          16    0.436294    0.434508  0.00105325
          17    0.434499    0.434508 0.000991296
          18    0.428068     0.43415 0.000998709
          19    0.435205    0.434206 0.000947688
          20    0.433999    0.434195  0.00090036
