#   N_BLOCK:  ACCEPTANCE:
           1   0.0257081
           2    0.025826
           3   0.0256176
           4   0.0254369
           5   0.0254224
           6   0.0255084
           7   0.0254446
           8   0.0254567
           9   0.0254921
          10   0.0255022
          11    0.025431
          12   0.0255183
          13    0.025545
          14    0.025573
          15   0.0255858
          16   0.0256335
          17    0.025705
          18   0.0256482
          19   0.0257027
          20   0.0257253
