#   N_BLOCK:  ACCEPTANCE:
           1    0.107671
           2    0.107749
           3    0.107712
           4    0.107756
           5    0.107668
           6    0.107706
           7    0.107564
           8    0.107633
           9    0.107675
          10     0.10763
          11    0.107713
          12     0.10772
          13    0.107658
          14    0.107694
          15    0.107693
          16    0.107734
          17    0.107791
          18    0.107847
          19    0.107812
          20    0.107839
