#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         195        0.36    0.919179   0.0112912
         196         0.4    0.916531   0.0115401
         197         0.4    0.913909   0.0117757
         198        0.44    0.911515    0.011957
         199         0.4    0.908945     0.01217
         200         0.4      0.9064   0.0123724
         201        0.36    0.903682   0.0126059
         202        0.44    0.901386   0.0127508
         203        0.44    0.899113   0.0128889
         204        0.44    0.896863   0.0130208
         205        0.52    0.895024   0.0130864
         206        0.56    0.893398   0.0131235
         207        0.56    0.891787   0.0131586
         208        0.48    0.889808   0.0132434
         209         0.4    0.887464   0.0133858
         210        0.32    0.884762   0.0135921
         211        0.28    0.881896   0.0138266
         212        0.32    0.879245   0.0140131
         213        0.28    0.876432   0.0142269
         214        0.32    0.873832   0.0143961
         215        0.28     0.87107   0.0145917
         216        0.24    0.868148   0.0148137
         217        0.16    0.864885   0.0151006
         218        0.36    0.862569   0.0152079
         219         0.4    0.860457   0.0152844
         220         0.4    0.858364   0.0153576
         221        0.44    0.856471   0.0154043
         222        0.56    0.855135   0.0153927
         223        0.68     0.85435   0.0153437
         224        0.72     0.85375   0.0152869
         225        0.72    0.853156   0.0152305
         226        0.72    0.852566   0.0151745
         227        0.68    0.851806   0.0151267
         228        0.76    0.851404   0.0150657
         229        0.48    0.849782    0.015087
         230        0.52    0.848348   0.0150894
         231        0.44     0.84658   0.0151273
         232        0.36    0.844483   0.0152067
         233        0.56    0.843262   0.0151904
         234        0.56    0.842051   0.0151737
         235        0.52    0.840681   0.0151708
         236        0.52    0.839322   0.0151673
         237        0.48    0.837806   0.0151789
         238        0.56    0.836639   0.0151599
         239        0.52    0.835314   0.0151543
         240        0.64      0.8345    0.015113
         241         0.6    0.833527   0.0150815
         242         0.4    0.831736   0.0151252
         243        0.52    0.830453   0.0151173
         244        0.48    0.829016   0.0151234
         245         0.4    0.827265   0.0151627
         246        0.44    0.825691   0.0151826
         247        0.32    0.823644   0.0152586
         248        0.44    0.822097   0.0152752
         249         0.4    0.820402   0.0153077
         250        0.52      0.8192   0.0152935
         251        0.64    0.818486   0.0152492
         252         0.6    0.817619   0.0152134
         253        0.64    0.816917   0.0151694
         254        0.64     0.81622   0.0151257
         255        0.68    0.815686   0.0150758
         256        0.68    0.815156   0.0150262
         257        0.72    0.814786   0.0149723
         258         0.8    0.814729   0.0149144
         259        0.84    0.814826   0.0148571
         260         0.8    0.814769   0.0148001
         261         0.8    0.814713   0.0147435
         262         0.8    0.814656   0.0146873
         263        0.84    0.814753   0.0146318
         264        0.84    0.814848   0.0145767
         265        0.84    0.814943    0.014522
         266        0.92    0.815338   0.0144728
         267           1     0.81603   0.0144351
         268           1    0.816716   0.0143975
         269           1    0.817398   0.0143601
         270           1    0.818074   0.0143228
         271           1    0.818745   0.0142857
         272           1    0.819412   0.0142487
         273           1    0.820073   0.0142119
         274           1     0.82073   0.0141752
         275           1    0.821382   0.0141386
         276           1    0.822029   0.0141022
         277           1    0.822671   0.0140659
         278           1    0.823309   0.0140298
         279           1    0.823943   0.0139938
         280           1    0.824571   0.0139579
         281           1    0.825196   0.0139222
         282           1    0.825816   0.0138866
         283           1    0.826431   0.0138512
         284           1    0.827042   0.0138159
         285           1    0.827649   0.0137807
         286           1    0.828252   0.0137457
         287           1     0.82885   0.0137108
         288           1    0.829444   0.0136761
         289           1    0.830035   0.0136415
         290           1    0.830621   0.0136071
         291           1    0.831203   0.0135727
         292           1    0.831781   0.0135386
         293           1    0.832355   0.0135045
         294           1    0.832925   0.0134706
         295           1    0.833492   0.0134369
         296           1    0.834054   0.0134032
         297           1    0.834613   0.0133698
         298           1    0.835168   0.0133364
         299           1    0.835719   0.0133032
         300           1    0.836267   0.0132701
         301           1    0.836811   0.0132372
