#   N_BLOCK:  ACCEPTANCE:
           1    0.466664
           2    0.466537
           3    0.466617
           4    0.466865
           5    0.466943
           6       0.467
           7    0.466996
           8    0.467015
           9    0.466938
          10    0.466934
          11    0.466861
          12    0.466825
          13     0.46666
          14    0.466578
          15    0.466582
          16    0.466521
          17    0.466458
          18    0.466534
          19     0.46656
          20    0.466532
