sigma,mu,exp_H,error,acceptance
0.622674,0.807211,-0.452094,0.00178507,0.78367
0.622674,0.807211,-0.452094,0.00178507,0.78386
0.622674,0.807211,-0.452094,0.00178507,0.77997
0.622674,0.807211,-0.452094,0.00178507,0.78438
0.622674,0.807211,-0.452094,0.00178507,0.78265
0.622674,0.807211,-0.452094,0.00178507,0.78396
0.622674,0.807211,-0.452094,0.00178507,0.78464
0.622674,0.807211,-0.452094,0.00178507,0.78286
0.622674,0.807211,-0.452094,0.00178507,0.78206
0.622674,0.807211,-0.452094,0.00178507,0.78431
0.622674,0.807211,-0.452094,0.00178507,0.78322
0.622674,0.807211,-0.452094,0.00178507,0.78226
0.622674,0.807211,-0.452094,0.00178507,0.78333
0.622674,0.807211,-0.452094,0.00178507,0.78259
0.622674,0.807211,-0.452094,0.00178507,0.78094
0.622674,0.807211,-0.452094,0.00178507,0.78244
0.622674,0.807211,-0.452094,0.00178507,0.78317
0.622674,0.807211,-0.452094,0.00178507,0.78849
0.622674,0.807211,-0.452094,0.00178507,0.78271
0.622674,0.807211,-0.452094,0.00178507,0.7812
0.622674,0.807211,-0.452094,0.00178507,0.78427
0.622674,0.807211,-0.452094,0.00178507,0.78716
0.622674,0.807211,-0.452094,0.00178507,0.78233
0.622674,0.807211,-0.452094,0.00178507,0.78397
0.622674,0.807211,-0.452094,0.00178507,0.78667
0.622674,0.807211,-0.452094,0.00178507,0.78379
0.622674,0.807211,-0.452094,0.00178507,0.78641
0.622674,0.807211,-0.452094,0.00178507,0.78488
0.622674,0.807211,-0.452094,0.00178507,0.78374
0.622674,0.807211,-0.452094,0.00178507,0.78613
0.622674,0.807211,-0.452094,0.00178507,0.78198
0.622674,0.807211,-0.452094,0.00178507,0.78441
0.622674,0.807211,-0.452094,0.00178507,0.78366
0.622674,0.807211,-0.452094,0.00178507,0.78071
0.622674,0.807211,-0.452094,0.00178507,0.78492
0.622674,0.807211,-0.452094,0.00178507,0.78215
0.622674,0.807211,-0.452094,0.00178507,0.78311
0.622674,0.807211,-0.452094,0.00178507,0.78523
0.622674,0.807211,-0.452094,0.00178507,0.7836
0.622674,0.807211,-0.452094,0.00178507,0.78316
0.622674,0.807211,-0.452094,0.00178507,0.78507
0.622674,0.807211,-0.452094,0.00178507,0.78351
0.622674,0.807211,-0.452094,0.00178507,0.78695
0.622674,0.807211,-0.452094,0.00178507,0.7844
0.622674,0.807211,-0.452094,0.00178507,0.78256
0.622674,0.807211,-0.452094,0.00178507,0.7823
0.622674,0.807211,-0.452094,0.00178507,0.78242
0.622674,0.807211,-0.452094,0.00178507,0.78374
0.622674,0.807211,-0.452094,0.00178507,0.78264
0.622674,0.807211,-0.452094,0.00178507,0.78479
