sigma,mu,exp_H,error,acceptance
0.623242,0.806443,-0.450895,0.00183623,0.7863
0.623242,0.806443,-0.450895,0.00183623,0.78287
0.623242,0.806443,-0.450895,0.00183623,0.78376
0.623242,0.806443,-0.450895,0.00183623,0.78291
0.623242,0.806443,-0.450895,0.00183623,0.78259
0.623242,0.806443,-0.450895,0.00183623,0.78515
0.623242,0.806443,-0.450895,0.00183623,0.78407
0.623242,0.806443,-0.450895,0.00183623,0.78697
0.623242,0.806443,-0.450895,0.00183623,0.78566
0.623242,0.806443,-0.450895,0.00183623,0.78409
0.623242,0.806443,-0.450895,0.00183623,0.78443
0.623242,0.806443,-0.450895,0.00183623,0.78359
0.623242,0.806443,-0.450895,0.00183623,0.78523
0.623242,0.806443,-0.450895,0.00183623,0.78379
0.623242,0.806443,-0.450895,0.00183623,0.78532
0.623242,0.806443,-0.450895,0.00183623,0.7832
0.623242,0.806443,-0.450895,0.00183623,0.7818
0.623242,0.806443,-0.450895,0.00183623,0.78762
0.623242,0.806443,-0.450895,0.00183623,0.78477
0.623242,0.806443,-0.450895,0.00183623,0.78665
0.623242,0.806443,-0.450895,0.00183623,0.7847
0.623242,0.806443,-0.450895,0.00183623,0.78311
0.623242,0.806443,-0.450895,0.00183623,0.78331
0.623242,0.806443,-0.450895,0.00183623,0.78455
0.623242,0.806443,-0.450895,0.00183623,0.78383
0.623242,0.806443,-0.450895,0.00183623,0.78506
0.623242,0.806443,-0.450895,0.00183623,0.78018
0.623242,0.806443,-0.450895,0.00183623,0.78563
0.623242,0.806443,-0.450895,0.00183623,0.78316
0.623242,0.806443,-0.450895,0.00183623,0.78608
0.623242,0.806443,-0.450895,0.00183623,0.78257
0.623242,0.806443,-0.450895,0.00183623,0.78266
0.623242,0.806443,-0.450895,0.00183623,0.78348
0.623242,0.806443,-0.450895,0.00183623,0.78431
0.623242,0.806443,-0.450895,0.00183623,0.78395
0.623242,0.806443,-0.450895,0.00183623,0.78304
0.623242,0.806443,-0.450895,0.00183623,0.78604
0.623242,0.806443,-0.450895,0.00183623,0.78451
0.623242,0.806443,-0.450895,0.00183623,0.78312
0.623242,0.806443,-0.450895,0.00183623,0.78492
0.623242,0.806443,-0.450895,0.00183623,0.78366
0.623242,0.806443,-0.450895,0.00183623,0.7836
0.623242,0.806443,-0.450895,0.00183623,0.78263
0.623242,0.806443,-0.450895,0.00183623,0.78408
0.623242,0.806443,-0.450895,0.00183623,0.78441
0.623242,0.806443,-0.450895,0.00183623,0.786
0.623242,0.806443,-0.450895,0.00183623,0.78391
0.623242,0.806443,-0.450895,0.00183623,0.7835
0.623242,0.806443,-0.450895,0.00183623,0.78694
0.623242,0.806443,-0.450895,0.00183623,0.78465
