sigma,mu,exp_H,error,acceptance
0.59294,0.799979,-0.441851,0.00193886,0.75578
0.602712,0.798487,-0.442039,0.00194907,0.77422
0.597215,0.801083,-0.443903,0.00240693,0.76499
0.597215,0.801083,-0.443903,0.00240693,0.76493
0.597215,0.801083,-0.443903,0.00240693,0.76265
0.597215,0.801083,-0.443903,0.00240693,0.75621
0.597095,0.803231,-0.439554,0.0024677,0.76531
0.600306,0.805172,-0.440555,0.00231754,0.76864
0.595284,0.800981,-0.440959,0.00222708,0.76589
0.596414,0.797524,-0.441847,0.00223309,0.76557
