sigma,mu,exp_H,error,acceptance
0.981792,0.634312,-0.140952,0.0116651,0.58427
0.981792,0.634312,-0.128352,0.0126654,0.62207
0.638005,1.07024,-0.121294,0.00615418,0.53888
0.578461,0.934811,-0.357941,0.00234609,0.535725
0.578461,0.934811,-0.358221,0.00251297,0.327345
0.578461,0.934811,-0.355923,0.00249159,0.39825
0.578461,0.934811,-0.361567,0.00246645,0.67816
0.578461,0.934811,-0.357787,0.00227981,0.2175
0.514892,0.705849,-0.328643,0.00389666,0.511435
0.827738,0.62049,-0.300106,0.00532876,0.519055
1.07404,0.392588,-0.151979,0.0123484,0.528665
1.07404,0.392588,-0.169334,0.00928456,0.62819
1.07404,0.392588,-0.14991,0.011724,0.6184
0.893725,0.316727,-0.246241,0.00434015,0.4607
0.909374,0.0382659,-0.221058,0.00455743,0.44595
0.909374,0.0382659,-0.219592,0.00424998,0.32091
0.865478,0.488066,-0.266257,0.0050242,0.486545
0.865478,0.488066,-0.266164,0.00443005,0.662455
0.865478,0.488066,-0.268454,0.00464508,0.56686
0.552139,0.755791,-0.402318,0.00250031,0.54106
