sigma,mu,exp_H,error,acceptance
0.613314,0.798154,-0.44404,0.00162418,0.57592
0.613314,0.798154,-0.444394,0.00193331,0.57671
0.613314,0.798154,-0.445553,0.00187031,0.57702
0.613314,0.798154,-0.444532,0.00212126,0.57962
0.623023,0.79076,-0.444048,0.00172669,0.578735
0.622677,0.786039,-0.445808,0.00194657,0.57561
0.622677,0.786039,-0.445291,0.00163291,0.574095
0.613349,0.786137,-0.44428,0.00171501,0.57297
0.623191,0.781078,-0.443495,0.00169234,0.57806
0.632433,0.779658,-0.443865,0.0018286,0.57666
0.632433,0.779658,-0.443264,0.00180007,0.574785
0.629941,0.770979,-0.439862,0.00183503,0.57341
0.625717,0.761689,-0.440331,0.00166467,0.57105
0.625717,0.761689,-0.439245,0.00146932,0.57227
0.625717,0.761689,-0.441715,0.00169502,0.573715
0.625717,0.761689,-0.436381,0.0017324,0.56919
0.620906,0.759347,-0.442361,0.00137741,0.56878
0.618573,0.756477,-0.438048,0.00135435,0.566465
0.620752,0.748835,-0.435579,0.00146863,0.56454
0.611509,0.757131,-0.438494,0.00167564,0.56483
0.610768,0.76102,-0.441227,0.0015081,0.56835
0.610768,0.76102,-0.438213,0.00154676,0.569005
0.610133,0.770054,-0.439436,0.00152606,0.567745
0.602975,0.760181,-0.437567,0.00173289,0.562105
0.610987,0.755627,-0.436285,0.00161723,0.56688
0.608336,0.763229,-0.437887,0.00143983,0.56647
0.612832,0.770381,-0.439828,0.00161849,0.568445
0.612832,0.770381,-0.442603,0.00154963,0.568455
0.60719,0.769434,-0.441473,0.00169209,0.567525
0.60719,0.769434,-0.438805,0.00163956,0.565365
0.60719,0.769434,-0.4423,0.00144087,0.561475
0.60719,0.769434,-0.439762,0.00187528,0.56064
0.604993,0.764274,-0.438421,0.00160729,0.564125
0.600846,0.754629,-0.431448,0.00191004,0.56092
0.600846,0.754629,-0.43496,0.00163302,0.560445
0.594575,0.760918,-0.437093,0.001757,0.562455
0.599362,0.764852,-0.435163,0.0017255,0.562225
0.599362,0.764852,-0.437882,0.00165798,0.56516
0.597908,0.766251,-0.438651,0.00149605,0.564605
0.600284,0.771775,-0.436229,0.0015887,0.5642
0.608283,0.779409,-0.443999,0.00151458,0.56736
0.612502,0.772243,-0.441457,0.00153769,0.568735
0.622364,0.769945,-0.440824,0.00185525,0.57397
0.631102,0.778418,-0.442067,0.00180536,0.57766
0.621132,0.77083,-0.441769,0.00163073,0.571525
0.621174,0.767753,-0.439019,0.00192035,0.569925
0.621174,0.767753,-0.440341,0.00151922,0.57016
0.621174,0.767753,-0.439331,0.00178732,0.566765
0.624322,0.758854,-0.435974,0.00149988,0.56708
0.623718,0.76065,-0.439399,0.0018731,0.5682
