sigma,mu,exp_H,error,acceptance
0.816823,1.12762,0.545489,0.0189998,0.33914
0.356136,1.12408,0.750204,0.0126176,0.262155
0.427197,1.18135,0.383691,0.00595542,0.29863
0.410195,0.920139,0.235555,0.00842194,0.383315
0.758652,0.688968,-0.347588,0.00417168,0.538235
0.926685,0.875544,0.0813025,0.0166073,0.62666
1.15721,0.630994,0.207697,0.0219009,0.58705
0.899539,0.986163,0.277018,0.0173459,0.669945
0.81475,1.10418,0.407396,0.0171883,0.659275
0.81475,1.10418,0.426437,0.0176554,0.673015
0.695856,1.34417,1.33703,0.0194744,0.467655
0.591695,0.959191,-0.336338,0.00255739,0.54169
0.673084,0.55694,-0.280062,0.00286906,0.464035
0.673084,0.55694,-0.280345,0.00279933,0.402685
0.931491,0.349917,-0.2446,0.00480337,0.47905
1.28442,0.141732,0.118569,0.0195153,0.56922
1.28442,0.141732,0.124077,0.0209817,0.635855
1.28442,0.141732,0.149044,0.0212497,0.672625
1.28442,0.141732,0.156763,0.0181214,0.64087
1.16856,0.370328,0.00343409,0.0177435,0.55263
