#   N_BLOCK:  ACCEPTANCE:
           1     0.49544
           2    0.495784
           3    0.495742
           4    0.495555
           5    0.495614
           6     0.49556
           7    0.495489
           8    0.495369
           9    0.495353
          10    0.495365
          11    0.495273
          12    0.495276
          13    0.495253
          14    0.495253
          15    0.495228
          16    0.495173
          17    0.495196
          18    0.495189
          19     0.49517
          20    0.495203
