#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.00122    -0.00122           0
           2    0.002592    0.000686  0.00134775
           3  -0.0022288  -0.0002856   0.0011986
           4  -0.0035968  -0.0011134   0.0011498
           5   0.0011808 -0.00065456  0.00100724
           6  -0.0019968-0.000878267 0.000863854
           7   -0.004226 -0.00135651 0.000862732
           8  -0.0015196  -0.0013769 0.000755132
           9   0.0001396  -0.0012084 0.000689771
          10   0.0029664 -0.00079092 0.000736374
          11  -0.0029536-0.000987527 0.000695182
          12    0.001068-0.000816233 0.000658015
          13   0.0004788-0.000716615 0.000614893
          14   0.0002696-0.000646171 0.000574993
          15  -0.0002032 -0.00061664 0.000537418
          16    0.003688  -0.0003476 0.000567188
          17   0.0021932-0.000198141 0.000553166
          18  -0.0002896-0.000203222 0.000522458
          19   0.0008476-0.000147916 0.000497879
          20  -0.0007548 -0.00017826 0.000473909
