#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.229538    0.229538           0
           2    0.228815    0.229177 0.000255773
           3    0.229863    0.229405 0.000252901
           4    0.227853    0.229017 0.000385855
           5    0.230351    0.229284 0.000390157
           6    0.229594    0.229336  0.00032853
           7    0.230432    0.229492 0.000316739
           8     0.23035    0.229599 0.000294721
           9    0.228312    0.229456  0.00029463
          10    0.230129    0.229524 0.000272731
          11    0.231103    0.229667 0.000283222
          12        0.23    0.229695 0.000260978
          13    0.232936    0.229944 0.000339716
          14    0.230417    0.229978 0.000317125
          15    0.231156    0.230057 0.000305546
          16    0.226352    0.229825 0.000363755
          17    0.229588    0.229811 0.000342625
          18    0.229619      0.2298 0.000323757
          19    0.231702    0.229901 0.000321817
          20     0.22977    0.229894 0.000305792
