#   N_BLOCK:  ACCEPTANCE:
           1     0.45647
           2    0.456388
           3      0.4564
           4     0.45657
           5    0.456686
           6     0.45669
           7    0.456619
           8    0.456695
           9    0.456763
          10    0.456732
          11    0.456678
          12    0.456616
          13    0.456517
          14    0.456406
          15    0.456434
          16    0.456352
          17    0.456366
          18    0.456393
          19    0.456419
          20    0.456392
