#   N_BLOCK:  ACCEPTANCE:
           1    0.272852
           2    0.272497
           3    0.272756
           4    0.272787
           5    0.272738
           6    0.272728
           7    0.272558
           8    0.272309
           9    0.272433
          10    0.272334
          11    0.272297
          12    0.272294
          13    0.272316
          14    0.272307
          15    0.272326
          16    0.272367
          17    0.272366
          18    0.272441
          19    0.272503
          20    0.272376
