#   N_BLOCK:  ACCEPTANCE:
           1    0.471867
           2    0.471727
           3    0.471746
           4    0.472066
           5    0.472044
           6    0.472049
           7    0.471997
           8    0.472091
           9    0.472057
          10    0.472081
          11    0.471971
          12    0.471928
          13    0.471874
          14    0.471773
          15    0.471729
          16    0.471652
          17    0.471631
          18    0.471686
          19    0.471729
          20    0.471724
