#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.001446    0.001446           0
           2    0.008164    0.004805  0.00237517
           3   -0.005858  0.00125067  0.00330598
           4    0.002912    0.001666  0.00250544
           5     0.00247   0.0018268   0.0020095
           6   -0.002084    0.001175  0.00177715
           7   -0.003212 0.000548286  0.00163004
           8    0.001916  0.00071925  0.00143522
           9    -0.00124 0.000501556  0.00129216
          10    0.005024   0.0009538  0.00123956
          11    -0.00667 0.000260727  0.00130634
          12   -0.002168 5.83333e-05  0.00121305
          13   -0.009676-0.000690462  0.00133093
          14    0.002454-0.000465857  0.00125468
          15    0.003854-0.000177867  0.00120363
          16     0.00525 0.000161375  0.00117524
          17   -0.000972 9.47059e-05    0.001108
          18   -0.000632 5.43333e-05  0.00104718
          19    -0.00269-9.01053e-05  0.00100197
          20   -0.002204  -0.0001958 0.000957433
