#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         169       -0.04   0.0397633   0.0177546
         170        -0.2   0.0383529   0.0177061
         171       -0.04   0.0378947   0.0176085
         172       -0.28   0.0360465   0.0176029
         173       -0.44   0.0332948   0.0177149
         174       -0.44   0.0305747   0.0178207
         175       -0.32   0.0285714   0.0178311
         176       -0.24   0.0270455   0.0177949
         177       -0.28   0.0253107   0.0177788
         178       -0.28   0.0235955   0.0177614
         179       -0.08   0.0230168   0.0176716
         180       -0.36   0.0208889   0.0177011
         181        -0.2   0.0196685   0.0176453
         182       -0.48   0.0169231   0.0177607
         183       -0.56   0.0137705   0.0179412
         184       -0.56   0.0106522   0.0181127
         185        -0.4  0.00843243   0.0181503
         186       -0.28  0.00688172   0.0181188
         187       -0.12  0.00620321   0.0180346
         188       -0.04  0.00595745   0.0179404
         189       -0.12  0.00529101   0.0178578
         190       -0.24       0.004   0.0178105
         191       -0.08  0.00356021   0.0177226
         192       -0.24  0.00229167   0.0176757
         193       -0.24  0.00103627   0.0176286
         194       -0.44 -0.00123711   0.0176837
         195       -0.36 -0.00307692   0.0176885
         196        -0.4 -0.00510204   0.0177138
         197        -0.2 -0.00609137   0.0176515
         198       -0.12 -0.00666667   0.0175717
         199        -0.2 -0.00763819   0.0175102
         200       -0.08      -0.008   0.0174264
         201       -0.08 -0.00835821   0.0173434
         202       -0.08 -0.00871287   0.0172612
         203        0.04 -0.00847291   0.0171778
         204       -0.16 -0.00921569   0.0171097
         205       -0.04 -0.00936585   0.0170268
         206       -0.08 -0.00970874   0.0169476
         207       -0.04 -0.00985507   0.0168664
         208           0 -0.00980769   0.0167854
         209       -0.24  -0.0109091   0.0167412
         210       -0.24      -0.012    0.016697
         211       -0.48   -0.014218   0.0167645
         212        -0.4  -0.0160377   0.0167839
         213       -0.12  -0.0165258   0.0167122
         214       -0.04  -0.0166355   0.0166344
         215       -0.24  -0.0176744   0.0165895
         216        -0.2  -0.0185185   0.0165341
         217        -0.2  -0.0193548   0.0164791
         218       -0.12  -0.0198165     0.01641
         219        -0.2  -0.0206393   0.0163556
         220       -0.12  -0.0210909   0.0162875
         221        0.08  -0.0206335   0.0162203
         222       -0.08  -0.0209009   0.0161494
         223       -0.08  -0.0211659   0.0160792
         224        0.08  -0.0207143   0.0160137
         225           0  -0.0206222   0.0159428
         226           0   -0.020531   0.0158725
         227           0  -0.0204405   0.0158029
         228       -0.08  -0.0207018   0.0157357
         229       -0.28  -0.0218341   0.0157077
         230       -0.24  -0.0227826    0.015668
         231        -0.2  -0.0235498   0.0156189
         232        -0.2  -0.0243103   0.0155701
         233        0.08  -0.0238627   0.0155097
         234        0.12  -0.0232479   0.0154556
         235       -0.04  -0.0233191     0.01539
         236       -0.24  -0.0242373   0.0153522
         237       -0.36   -0.025654   0.0153526
         238       -0.24  -0.0265546   0.0153145
         239        0.12  -0.0259414   0.0152627
         240       -0.08  -0.0261667   0.0152008
         241       -0.16   -0.026722   0.0151478
         242       -0.48   -0.028595   0.0152006
         243       -0.36  -0.0299588   0.0151991
         244       -0.28  -0.0309836   0.0151713
         245       -0.36  -0.0323265   0.0151687
         246       -0.32  -0.0334959   0.0151521
         247       -0.44  -0.0351417   0.0151798
         248       -0.48  -0.0369355   0.0152243
         249       -0.68  -0.0395181   0.0153806
         250       -0.56     -0.0416   0.0154593
         251       -0.68  -0.0441434   0.0156056
         252       -0.64  -0.0465079   0.0157218
         253       -0.56  -0.0485375   0.0157901
         254       -0.48  -0.0502362    0.015819
         255       -0.44  -0.0517647   0.0158307
         256       -0.44  -0.0532813   0.0158413
         257        -0.4  -0.0546304    0.015837
         258       -0.16  -0.0550388   0.0157809
         259       -0.04  -0.0549807   0.0157201
         260         0.2      -0.054   0.0156902
         261        0.32   -0.052567   0.0156953
         262         0.2  -0.0516031    0.015665
         263        0.28  -0.0503422   0.0156561
         264        0.04       -0.05   0.0156005
         265        0.12  -0.0493585   0.0155549
         266           0  -0.0491729   0.0154975
         267        0.04   -0.048839    0.015443
         268           0  -0.0486567   0.0153865
         269        -0.2  -0.0492193   0.0153396
         270           0   -0.049037   0.0152838
         271       -0.04  -0.0490037   0.0152275
         272       -0.04  -0.0489706   0.0151715
         273        0.08  -0.0484982   0.0151233
         274        0.08  -0.0480292   0.0150754
         275        0.08  -0.0475636   0.0150278
         276         0.2  -0.0466667   0.0150001
         277        0.24  -0.0456318   0.0149816
         278        0.28  -0.0444604   0.0149734
         279        0.44   -0.042724   0.0150201
         280        0.48  -0.0408571    0.015082
         281        0.36  -0.0394306   0.0150956
         282        0.32   -0.038156   0.0150958
         283         0.4  -0.0366078   0.0151217
         284         0.4  -0.0350704   0.0151464
         285        0.32  -0.0338246   0.0151444
         286        0.24  -0.0328671   0.0151217
         287        0.16  -0.0321951   0.0150839
         288        0.04  -0.0319444   0.0150336
         289        0.04  -0.0316955   0.0149836
         290        0.28  -0.0306207   0.0149705
         291        0.16  -0.0299656   0.0149334
         292         0.2  -0.0291781    0.014903
         293        0.08  -0.0288055   0.0148568
         294        0.08  -0.0284354   0.0148108
         295        -0.2  -0.0290169    0.014772
         296        -0.2  -0.0295946   0.0147334
         297       -0.24   -0.030303   0.0147008
         298       -0.16  -0.0307383    0.014658
         299       -0.04  -0.0307692    0.014609
         300       -0.12  -0.0310667   0.0145633
         301       -0.28  -0.0318937   0.0145384
         302        -0.2  -0.0324503   0.0145009
         303        -0.2  -0.0330033   0.0144636
         304       -0.28  -0.0338158   0.0144388
         305       -0.28   -0.034623    0.014414
         306       -0.36  -0.0356863   0.0144061
         307       -0.16  -0.0360912   0.0143648
         308       -0.08  -0.0362338   0.0143189
         309       -0.16  -0.0366343   0.0142782
         310       -0.04  -0.0366452   0.0142321
         311        0.08  -0.0362701   0.0141913
         312        -0.2  -0.0367949   0.0141555
         313        -0.2  -0.0373163   0.0141199
         314       -0.16   -0.037707   0.0140803
         315           0  -0.0375873   0.0140361
         316           0  -0.0374684   0.0139922
         317       -0.24  -0.0381073   0.0139626
         318       -0.08   -0.038239   0.0139194
         319       -0.16  -0.0386207    0.013881
         320       -0.16      -0.039   0.0138428
         321       -0.24  -0.0396262   0.0138138
         322       -0.24  -0.0402484   0.0137849
         323       -0.04  -0.0402477   0.0137422
         324       -0.12  -0.0404938    0.013702
         325       -0.08  -0.0406154   0.0136604
         326        0.08  -0.0402454   0.0136235
         327           0  -0.0401223   0.0135824
         328        0.04   -0.039878   0.0135432
         329       -0.12  -0.0401216   0.0135042
         330       -0.12  -0.0403636   0.0134654
         331       -0.04  -0.0403625   0.0134248
         332        0.04  -0.0401205   0.0133865
         333        0.16  -0.0395195   0.0133598
         334        0.24  -0.0386826    0.013346
         335         0.4  -0.0373731   0.0133702
         336        0.24  -0.0365476   0.0133559
         337         0.2  -0.0358457   0.0133347
         338        0.16  -0.0352663   0.0133078
         339       -0.04  -0.0352802   0.0132686
         340       -0.28      -0.036   0.0132491
         341       -0.48  -0.0373021    0.013274
         342       -0.44  -0.0384795   0.0132873
         343       -0.48  -0.0397668   0.0133108
         344        -0.6  -0.0413953   0.0133714
         345       -0.48  -0.0426667   0.0133929
         346        -0.4  -0.0436994    0.013394
         347       -0.36   -0.044611   0.0133864
         348        -0.4  -0.0456322   0.0133868
         349       -0.32  -0.0464183   0.0133715
         350       -0.36  -0.0473143   0.0133633
         351       -0.32  -0.0480912   0.0133478
         352       -0.28    -0.04875   0.0133261
         353       -0.28  -0.0494051   0.0133044
         354       -0.36  -0.0502825   0.0132957
         355       -0.24  -0.0508169    0.013269
         356       -0.44  -0.0519101   0.0132767
         357       -0.52  -0.0532213   0.0133041
         358       -0.64  -0.0548603   0.0133675
         359       -0.52   -0.056156   0.0133929
         360       -0.48  -0.0573333   0.0134074
         361       -0.32  -0.0580609     0.01339
         362       -0.24  -0.0585635   0.0133624
         363        -0.4  -0.0595041   0.0133587
         364        -0.6   -0.060989   0.0134042
         365       -0.68  -0.0626849   0.0134744
         366       -0.72  -0.0644809   0.0135567
         367        -0.6  -0.0659401   0.0135981
         368       -0.64     -0.0675   0.0136503
         369       -0.56  -0.0688347   0.0136784
         370       -0.16  -0.0690811   0.0136437
         371       -0.16  -0.0693261   0.0136091
         372        -0.2  -0.0696774    0.013577
         373       -0.16  -0.0699196   0.0135428
         374        -0.2  -0.0702674   0.0135111
         375       -0.32  -0.0709333   0.0134914
         376       -0.36  -0.0717021   0.0134774
         377        -0.2  -0.0720424    0.013446
         378        -0.4  -0.0729101   0.0134384
         379       -0.44  -0.0738786   0.0134378
         380       -0.24  -0.0743158   0.0134095
         381        -0.4  -0.0751706   0.0134015
         382       -0.36  -0.0759162   0.0133872
         383       -0.12  -0.0760313   0.0133527
         384        0.04  -0.0757292   0.0133214
         385           0  -0.0755325   0.0132882
         386       -0.08   -0.075544   0.0132538
         387       -0.12  -0.0756589   0.0132201
         388       -0.28  -0.0761856   0.0131965
         389        -0.2  -0.0765039   0.0131664
         390       -0.28  -0.0770256    0.013143
         391       -0.12  -0.0771355   0.0131098
         392       -0.04  -0.0770408   0.0130767
         393       -0.08  -0.0770483   0.0130434
         394       -0.12  -0.0771574   0.0130108
         395        0.04  -0.0768608   0.0129812
         396       -0.08  -0.0768687   0.0129484
         397       -0.28  -0.0773804   0.0129259
         398       -0.28  -0.0778894   0.0129035
         399        -0.2  -0.0781955   0.0128748
         400       -0.12     -0.0783    0.012843
         401       -0.16  -0.0785037   0.0128126
         402       -0.04   -0.078408   0.0127811
         403       -0.24  -0.0788089   0.0127557
         404       -0.36   -0.079505   0.0127431
         405       -0.12  -0.0796049    0.012712
         406        0.04  -0.0793103   0.0126841
         407        0.04  -0.0790172   0.0126563
         408       -0.12  -0.0791176   0.0126257
         409       -0.32  -0.0797066   0.0126085
         410        -0.4  -0.0804878    0.012602
         411       -0.32  -0.0810706   0.0125848
         412       -0.28  -0.0815534   0.0125635
         413       -0.36  -0.0822276   0.0125511
         414       -0.32  -0.0828019    0.012534
         415       -0.48   -0.083759   0.0125402
         416       -0.36  -0.0844231   0.0125277
         417       -0.44  -0.0852758   0.0125266
         418       -0.56  -0.0864115    0.012548
         419        -0.6  -0.0876372   0.0125778
         420       -0.52  -0.0886667   0.0125899
         421       -0.56  -0.0897862   0.0126097
         422       -0.08   -0.089763   0.0125798
         423       -0.12  -0.0898345   0.0125503
         424       -0.52  -0.0908491   0.0125616
         425        -0.4  -0.0915765   0.0125531
         426        -0.4  -0.0923005   0.0125445
         427        -0.4  -0.0930211   0.0125358
         428       -0.32  -0.0935514   0.0125177
         429        -0.4  -0.0942657   0.0125089
         430        -0.2  -0.0945116   0.0124823
         431       -0.24  -0.0948492   0.0124579
         432        -0.2  -0.0950926   0.0124314
         433       -0.32   -0.095612   0.0124135
         434       -0.48  -0.0964977   0.0124165
         435       -0.32  -0.0970115   0.0123986
         436       -0.12  -0.0970642   0.0123702
         437        -0.2  -0.0972998   0.0123442
         438        -0.4  -0.0979909   0.0123353
         439       -0.52  -0.0989522   0.0123446
         440        -0.6   -0.100091    0.012369
         441       -0.48   -0.100952   0.0123709
         442       -0.28   -0.101357   0.0123495
         443       -0.08   -0.101309   0.0123218
         444        0.04   -0.100991   0.0122981
         445       -0.16   -0.101124   0.0122712
         446       -0.28   -0.101525   0.0122502
         447       -0.32   -0.102013   0.0122326
         448       -0.24   -0.102321   0.0122091
         449       -0.16    -0.10245   0.0121826
         450       -0.24   -0.102756   0.0121594
         451        -0.2   -0.102971   0.0121343
         452       -0.12   -0.103009   0.0121076
         453       -0.24   -0.103311   0.0120846
         454       -0.24   -0.103612   0.0120617
         455       -0.28      -0.104   0.0120415
         456       -0.28   -0.104386   0.0120212
         457       -0.24   -0.104683   0.0119986
         458        -0.2   -0.104891   0.0119742
         459        -0.2   -0.105098   0.0119499
         460       -0.24   -0.105391   0.0119275
         461        0.08   -0.104989   0.0119084
         462       -0.16   -0.105108   0.0118832
         463       -0.28   -0.105486   0.0118636
         464       -0.32   -0.105948    0.011847
         465       -0.56   -0.106925   0.0118617
         466        -0.6   -0.107983   0.0118834
         467       -0.44   -0.108694   0.0118792
         468       -0.52   -0.109573   0.0118862
         469       -0.16    -0.10968   0.0118614
         470       -0.12   -0.109702   0.0118362
         471        0.08   -0.109299   0.0118179
         472        0.12   -0.108814   0.0118028
         473        0.08   -0.108414   0.0117846
         474        0.08   -0.108017   0.0117665
         475        0.12   -0.107537   0.0117515
         476        0.16   -0.106975   0.0117402
         477        0.32    -0.10608   0.0117497
         478         0.2   -0.105439   0.0117425
         479        0.28   -0.104635   0.0117456
         480        0.44     -0.1035   0.0117758
         481        0.28   -0.102703   0.0117783
         482        0.08   -0.102324   0.0117599
         483        0.12   -0.101863   0.0117446
         484           0   -0.101653   0.0117222
         485        0.16   -0.101113   0.0117104
         486       -0.08    -0.10107   0.0116864
         487           0   -0.100862   0.0116643
         488        0.12    -0.10041   0.0116491
         489       -0.08   -0.100368   0.0116254
         490        0.12  -0.0999184   0.0116104
         491        0.12  -0.0994705   0.0115954
         492       -0.08  -0.0994309   0.0115719
         493           0  -0.0992292   0.0115501
         494           0  -0.0990283   0.0115285
         495       -0.16  -0.0991515   0.0115059
         496        0.08  -0.0987903   0.0114883
         497       -0.24  -0.0990744   0.0114687
         498       -0.12  -0.0991165   0.0114458
         499       -0.24  -0.0993988   0.0114263
         500       -0.52    -0.10024   0.0114344
         501       -0.36   -0.100758   0.0114233
         502       -0.28   -0.101116   0.0114061
         503       -0.36    -0.10163   0.0113951
         504        -0.4   -0.102222   0.0113878
         505       -0.44   -0.102891   0.0113849
         506        -0.4   -0.103478   0.0113775
         507       -0.48   -0.104221   0.0113793
         508       -0.48   -0.104961   0.0113809
         509       -0.28   -0.105305   0.0113638
         510        -0.2    -0.10549    0.011343
         511       -0.48   -0.106223   0.0113445
         512       -0.24   -0.106484   0.0113253
         513        0.12   -0.106043   0.0113118
         514        0.32   -0.105214   0.0113202
         515        0.44   -0.104155   0.0113476
         516        0.44   -0.103101   0.0113745
         517        0.32   -0.102282   0.0113819
         518        0.44   -0.101236   0.0114079
         519         0.4    -0.10027   0.0114268
         520        0.28  -0.0995385   0.0114282
         521        0.36  -0.0986564   0.0114402
         522        0.32  -0.0978544   0.0114464
         523         0.2  -0.0972849   0.0114387
         524       -0.08  -0.0972519   0.0114169
         525       -0.04  -0.0971429   0.0113957
         526       -0.04  -0.0970342   0.0113745
         527       -0.32  -0.0974573   0.0113608
         528       -0.28   -0.097803   0.0113445
         529       -0.28  -0.0981474   0.0113283
         530       -0.36  -0.0986415   0.0113177
         531       -0.16  -0.0987571    0.011297
         532       -0.36  -0.0992481   0.0112864
         533        -0.4  -0.0998124   0.0112793
         534       -0.28    -0.10015   0.0112633
         535       -0.24   -0.100411   0.0112452
         536       -0.16   -0.100522   0.0112248
         537       -0.32   -0.100931   0.0112113
         538       -0.24    -0.10119   0.0111935
         539        -0.2   -0.101373   0.0111742
         540       -0.12   -0.101407   0.0111536
         541       -0.08   -0.101368    0.011133
         542        0.04   -0.101107   0.0111155
         543       -0.12   -0.101142   0.0110951
         544           0   -0.100956   0.0110763
         545       -0.08   -0.100917    0.011056
         546       -0.32   -0.101319   0.0110431
         547       -0.24   -0.101572   0.0110258
         548       -0.12   -0.101606   0.0110057
         549       -0.32   -0.102004   0.0109929
         550       -0.24   -0.102255   0.0109757
         551        0.04   -0.101996   0.0109589
         552           0   -0.101812   0.0109406
         553       -0.12   -0.101844   0.0109208
         554         0.2     -0.1013   0.0109147
         555        0.36   -0.100468   0.0109266
         556        0.28  -0.0997842   0.0109284
         557           0   -0.099605   0.0109102
         558        0.04  -0.0993548   0.0108935
         559        0.12  -0.0989624   0.0108811
         560       -0.04  -0.0988571   0.0108622
         561       -0.04  -0.0987522   0.0108433
         562       -0.08  -0.0987189   0.0108241
         563           0  -0.0985435   0.0108063
         564        0.16  -0.0980851   0.0107969
         565        0.04  -0.0978407   0.0107805
         566       -0.16  -0.0979505    0.010762
         567       -0.36  -0.0984127    0.010753
         568        -0.4  -0.0989437   0.0107471
         569       -0.36  -0.0994025    0.010738
         570        -0.4  -0.0999298   0.0107321
         571       -0.48   -0.100595    0.010734
         572       -0.56   -0.101399   0.0107452
         573       -0.68   -0.102408   0.0107738
         574       -0.36   -0.102857   0.0107644
         575       -0.28   -0.103165   0.0107501
         576       -0.08   -0.103125   0.0107315
         577        -0.2   -0.103293   0.0107142
         578        -0.2    -0.10346    0.010697
         579        0.04   -0.103212   0.0106813
         580       -0.24   -0.103448   0.0106655
         581       -0.12   -0.103477   0.0106472
         582       -0.08   -0.103436    0.010629
         583       -0.12   -0.103465   0.0106108
         584       -0.08   -0.103425   0.0105927
         585       -0.12   -0.103453   0.0105746
         586        -0.4   -0.103959   0.0105687
         587       -0.36   -0.104395   0.0105597
