#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.723472   -0.723472           0
           2   -0.725848    -0.72466 0.000840043
           3   -0.723012   -0.724111 0.000717503
           4   -0.723468    -0.72395 0.000555825
           5   -0.724048    -0.72397 0.000445005
           6   -0.724596   -0.724074 0.000382888
           7    -0.72632   -0.724395 0.000442663
           8    -0.72752   -0.724786 0.000532496
           9   -0.723456   -0.724638 0.000493394
          10    -0.72574   -0.724748   0.0004562
          11   -0.726668   -0.724923 0.000446873
          12   -0.723424   -0.724798 0.000426726
          13   -0.723752   -0.724717  0.00040141
          14   -0.727052   -0.724884 0.000405905
          15     -0.7243   -0.724845 0.000380707
          16   -0.725028   -0.724856 0.000357085
          17    -0.72414   -0.724814 0.000338558
          18   -0.723064   -0.724717 0.000333422
          19    -0.72302   -0.724628 0.000327619
          20   -0.726712   -0.724732 0.000327393
