#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505351   -0.505351           0
           2   -0.508345   -0.506848  0.00105847
           3   -0.506955   -0.506884 0.000706242
           4    -0.50585   -0.506625 0.000575005
           5   -0.504839   -0.506268 0.000560163
           6   -0.504602    -0.50599 0.000531156
           7   -0.505359     -0.5059 0.000462874
           8   -0.504658   -0.505745 0.000430287
           9   -0.506754   -0.505857 0.000396812
          10   -0.505554   -0.505827 0.000358289
          11   -0.507602   -0.505988  0.00036023
          12    -0.50543   -0.505942 0.000333197
          13   -0.505874   -0.505936 0.000307607
          14   -0.507771   -0.506067 0.000312291
          15   -0.506232   -0.506078 0.000291664
          16   -0.504881   -0.506003  0.00028288
          17   -0.507458   -0.506089 0.000278883
          18   -0.505444   -0.506053  0.00026568
          19   -0.506131   -0.506057 0.000251729
          20   -0.505019   -0.506005 0.000244439
