#   N_BLOCK:  ACCEPTANCE:
           1    0.417069
           2     0.41715
           3    0.417151
           4     0.41712
           5     0.41714
           6    0.417183
           7    0.417201
           8    0.417177
           9     0.41716
          10    0.417199
          11     0.41723
          12    0.417228
          13    0.417226
          14    0.417168
          15    0.417163
          16    0.417159
          17    0.417155
          18    0.417188
          19    0.417179
          20    0.417163
