#   N_BLOCK:  ACCEPTANCE:
           1    0.051713
           2   0.0486667
           3   0.0495155
           4   0.0489705
           5    0.048469
           6   0.0484023
           7   0.0481426
           8   0.0477151
           9   0.0477172
          10   0.0476781
          11   0.0473851
          12   0.0471286
          13   0.0471002
          14   0.0471523
          15   0.0471109
          16   0.0471459
          17    0.047113
          18   0.0472078
          19   0.0470634
          20   0.0471036
