#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.497158    0.497158           0
           2    0.467303    0.482231   0.0105553
           3    0.504379    0.489614  0.00926574
           4    0.496825    0.491416  0.00712254
           5    0.484939    0.490121  0.00581465
           6    0.494425    0.490838  0.00488959
           7    0.479338    0.489195  0.00445855
           8    0.470113     0.48681  0.00449425
           9     0.49023     0.48719  0.00401092
          10    0.496765    0.488148  0.00372237
          11    0.476982    0.487132  0.00351965
          12     0.47074    0.485766  0.00348137
          13    0.490286    0.486114  0.00323089
          14    0.481041    0.485752  0.00302036
          15    0.492241    0.486184  0.00284983
          16    0.493101    0.486617   0.0027043
          17    0.495789    0.487156  0.00259848
          18    0.500658    0.487906   0.0025601
          19    0.465131    0.486708  0.00269139
          20    0.488787    0.486812  0.00255883
