#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.12312    -0.12312           0
           2    -0.05846    -0.09079   0.0228608
           3    -0.02972  -0.0704333   0.0225507
           4    -0.17954    -0.09771   0.0290528
           5       0.009   -0.076368   0.0300763
           6      0.0406  -0.0568733    0.030739
           7    -0.27312  -0.0877657   0.0388871
           8      0.0279  -0.0733075   0.0366155
           9     0.06052  -0.0584378    0.035438
          10      0.0319   -0.049404   0.0330256
          11     0.00594  -0.0443727   0.0304041
          12    -0.03842  -0.0438767   0.0278745
          13    -0.02624    -0.04252   0.0257633
          14      0.0359  -0.0369186   0.0245244
          15    -0.04208  -0.0372627   0.0228919
          16     0.01434  -0.0340375   0.0216871
          17     0.12044  -0.0249506   0.0222338
          18     0.12896     -0.0164    0.022583
          19    -0.04674  -0.0179968   0.0214508
          20     0.10816   -0.011689   0.0212855
