#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.231731    0.231731           0
           2     0.23249     0.23211 0.000268133
           3    0.232064    0.232095 0.000179199
           4    0.233103    0.232347 0.000256266
           5    0.231027    0.232083 0.000312636
           6      0.2309    0.231886 0.000316661
           7    0.230647    0.231709 0.000317061
           8    0.230827    0.231599  0.00029597
           9    0.231714    0.231611 0.000263362
          10     0.23138    0.231588 0.000238043
          11    0.232761    0.231695 0.000239095
          12    0.229479     0.23151 0.000281589
          13    0.230381    0.231423 0.000272986
          14    0.230504    0.231358 0.000261263
          15    0.231902    0.231394 0.000246356
          16    0.229915    0.231301 0.000247699
          17    0.229142    0.231174   0.0002637
          18    0.230591    0.231142 0.000251032
          19    0.232562    0.231217 0.000248694
          20    0.231057    0.231209 0.000236388
