#   N_BLOCK:  ACCEPTANCE:
           1   0.0924517
           2   0.0926536
           3   0.0927959
           4   0.0924484
           5   0.0923146
           6   0.0924145
           7   0.0925446
           8    0.092839
           9   0.0932481
          10   0.0934369
          11   0.0937081
          12   0.0940251
          13   0.0938544
          14   0.0936056
          15   0.0936876
          16   0.0934966
          17   0.0935779
          18   0.0936193
          19   0.0936299
          20   0.0936762
