#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.915171   -0.915171           0
           2   -0.913213   -0.914192 0.000692357
           3   -0.912124   -0.913503 0.000727767
           4   -0.915855   -0.914091 0.000746508
           5   -0.915505   -0.914373 0.000648569
           6   -0.912911    -0.91413  0.00058448
           7    -0.91101   -0.913684 0.000649007
           8   -0.909649    -0.91318 0.000738308
           9   -0.906406   -0.912427 0.000966516
          10   -0.908929   -0.912077 0.000931005
          11   -0.907579   -0.911668 0.000931844
          12   -0.907115   -0.911289 0.000928242
          13   -0.916228   -0.911669 0.000931362
          14   -0.917568    -0.91209 0.000955412
          15     -0.9118   -0.912071 0.000891914
          16   -0.917003   -0.912379 0.000887833
          17   -0.910384   -0.912262 0.000843325
          18   -0.912153   -0.912256 0.000796495
          19   -0.911893   -0.912237 0.000754803
          20   -0.911369   -0.912193 0.000718308
