#   N_BLOCK:  ACCEPTANCE:
           1    0.195582
           2    0.195622
           3    0.195513
           4    0.195561
           5    0.195597
           6    0.195565
           7    0.195431
           8    0.195355
           9    0.195346
          10    0.195334
          11    0.195356
          12    0.195409
          13    0.195387
          14     0.19535
          15    0.195366
          16     0.19536
          17    0.195362
          18    0.195383
          19    0.195421
          20    0.195482
