#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.435166    0.435166           0
           2    0.434334     0.43475 0.000294438
           3    0.443601      0.4377  0.00241698
           4    0.434296    0.436849  0.00195689
           5    0.433367    0.436153  0.00168487
           6    0.430134     0.43515  0.00167625
           7    0.441957    0.436122   0.0016956
           8    0.436142    0.436125  0.00148365
           9    0.435114    0.436012  0.00132305
          10    0.437045    0.436116  0.00119476
          11     0.43543    0.436053  0.00108777
          12     0.43172    0.435692  0.00105537
          13    0.428791    0.435161  0.00109961
          14    0.430911    0.434858  0.00106216
          15    0.435966    0.434932 0.000993918
          16    0.445267    0.435578  0.00112226
          17    0.433148    0.435435   0.0010653
          18    0.435381    0.435432  0.00100612
          19    0.439957     0.43567 0.000980958
          20    0.437367    0.435755 0.000935572
