#   N_BLOCK:  ACCEPTANCE:
           1     0.32313
           2    0.323045
           3    0.323202
           4    0.323353
           5    0.323162
           6    0.323008
           7    0.322913
           8     0.32269
           9    0.322927
          10    0.322921
          11    0.322965
          12    0.322989
          13    0.322887
          14    0.322918
          15    0.322933
          16    0.322863
          17    0.322871
          18    0.322862
          19    0.322868
          20    0.322777
