#   N_BLOCK:  ACCEPTANCE:
           1    0.488267
           2    0.488052
           3    0.488141
           4    0.488396
           5    0.488436
           6    0.488457
           7    0.488472
           8    0.488514
           9    0.488583
          10    0.488628
          11    0.488519
          12    0.488544
          13    0.488462
          14    0.488377
          15    0.488329
          16    0.488329
          17    0.488294
          18    0.488332
          19    0.488362
          20    0.488378
