#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.524742    0.524742           0
           2    0.499669    0.512205  0.00886472
           3    0.512862    0.512424  0.00591251
           4     0.52887    0.516536  0.00568691
           5    0.516424    0.516513  0.00454957
           6    0.556732    0.523216  0.00719842
           7    0.525558    0.523551  0.00617784
           8    0.518365    0.522903  0.00543951
           9    0.490981    0.519356  0.00587884
          10    0.524227    0.519843  0.00531109
          11    0.508215    0.518786  0.00493235
          12    0.520734    0.518948  0.00452399
          13    0.468591    0.515075  0.00559372
          14    0.487799    0.513126  0.00552303
          15    0.540011    0.514919  0.00543786
          16    0.535087    0.516179  0.00524205
          17    0.518354    0.516307  0.00493526
          18    0.522338    0.516642  0.00467243
          19    0.491953    0.515343  0.00460366
          20    0.521949    0.515673  0.00438531
