#   N_BLOCK:  ACCEPTANCE:
           1    0.402273
           2    0.402292
           3    0.402359
           4    0.402444
           5    0.402354
           6    0.402444
           7    0.402434
           8    0.402401
           9    0.402376
          10    0.402437
          11    0.402449
          12    0.402543
          13    0.402487
          14    0.402481
          15    0.402507
          16    0.402414
          17    0.402366
          18    0.402381
          19    0.402351
          20    0.402283
