#   N_BLOCK:  ACCEPTANCE:
           1   0.0196717
           2   0.0199854
           3   0.0204138
           4   0.0204424
           5   0.0205438
           6   0.0201738
           7   0.0198912
           8   0.0197392
           9   0.0194421
          10     0.01952
          11   0.0192282
          12   0.0190113
          13   0.0190797
          14   0.0188758
          15   0.0191006
          16   0.0188113
          17   0.0189457
          18   0.0189343
          19   0.0187595
          20   0.0190288
