#   N_BLOCK:  ACCEPTANCE:
           1    0.411994
           2    0.412196
           3    0.412285
           4    0.412206
           5     0.41201
           6    0.412113
           7    0.412099
           8    0.412086
           9    0.412082
          10    0.412113
          11    0.412115
          12    0.412151
          13    0.412192
          14    0.412165
          15    0.412165
          16    0.412184
          17     0.41218
          18     0.41219
          19    0.412191
          20    0.412209
