#   N_BLOCK:  ACCEPTANCE:
           1   0.0803547
           2   0.0803189
           3    0.080492
           4   0.0803222
           5   0.0802161
           6   0.0802127
           7   0.0802023
           8   0.0804532
           9   0.0806171
          10   0.0808935
          11   0.0812281
          12    0.081102
          13   0.0807359
          14   0.0803543
          15   0.0803134
          16   0.0802405
          17   0.0801912
          18    0.080225
          19    0.080053
          20   0.0799533
