#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.276679    0.276679           0
           2     0.27655    0.276614 4.57656e-05
           3    0.279323    0.277517 0.000737904
           4     0.28825      0.2802  0.00238861
           5    0.279012    0.279963  0.00192268
           6    0.279651    0.279911  0.00160294
           7     0.28153    0.280142  0.00139054
           8    0.277586    0.279823  0.00125288
           9    0.282946     0.28017  0.00116075
          10    0.273435    0.279496  0.00122455
          11    0.281874    0.279712  0.00113215
          12    0.281825    0.279888  0.00105141
          13    0.280718    0.279952 0.000972465
          14    0.280007    0.279956 0.000903011
          15    0.276004    0.279693 0.000880416
          16    0.283289    0.279917 0.000853604
          17     0.27586    0.279679 0.000836098
          18    0.280622    0.279731  0.00079129
          19    0.272793    0.279366 0.000829625
          20    0.281592    0.279477 0.000795578
