#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.377965    0.377965           0
           2    0.379721    0.378843 0.000620733
           3     0.38626    0.381315  0.00206054
           4    0.374912    0.379715  0.00207612
           5    0.378551    0.379482  0.00167389
           6    0.382228     0.37994  0.00145616
           7     0.38033    0.379995   0.0012492
           8    0.374953    0.379365  0.00124195
           9     0.38156    0.379609  0.00112765
          10    0.381698    0.379818  0.00103405
          11    0.379451    0.379784 0.000940588
          12    0.379834    0.379789 0.000862214
          13    0.382771    0.380018 0.000825852
          14    0.375842     0.37972 0.000818956
          15    0.382093    0.379878  0.00077949
          16    0.377994     0.37976 0.000739611
          17    0.381067    0.379837 0.000700089
          18    0.378998    0.379791 0.000662745
          19    0.382474    0.379932 0.000642734
          20    0.382594    0.380065 0.000624227
