#   N_BLOCK:  ACCEPTANCE:
           1    0.312023
           2    0.312077
           3    0.312043
           4    0.312038
           5     0.31204
           6    0.312062
           7    0.312063
           8    0.312044
           9    0.312003
          10     0.31196
          11    0.311998
          12    0.312007
          13    0.311999
          14    0.311948
          15    0.311927
          16    0.311925
          17    0.311903
          18    0.311916
          19    0.311899
          20    0.311936
