#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     1.22136     1.22136           0
           2     1.29012     1.25574   0.0243103
           3     1.31246     1.27465   0.0223824
           4     1.13606        1.24   0.0343815
           5      1.3575      1.2635    0.034617
           6     1.39308      1.2851   0.0349408
           7     1.06086     1.25306   0.0421489
           8     1.36928     1.26759   0.0393041
           9     1.44128     1.28689   0.0393911
          10     1.34198      1.2924   0.0358351
          11     1.36494     1.29899   0.0331787
          12     1.34838     1.30311    0.030668
          13     1.33472     1.30554   0.0284051
          14     1.34788     1.30856   0.0265367
          15     1.35694     1.31179   0.0249628
          16      1.3641     1.31506   0.0236157
          17     1.49784     1.32581   0.0245525
          18     1.44008     1.33216   0.0239951
          19     1.28536      1.3297   0.0228583
          20     1.46126     1.33627   0.0226421
