#   N_BLOCK:  ACCEPTANCE:
           1   0.0436327
           2   0.0442934
           3   0.0442874
           4   0.0439067
           5   0.0435204
           6   0.0437531
           7   0.0438277
           8   0.0439192
           9   0.0440548
          10   0.0441525
          11   0.0442241
          12   0.0441209
          13    0.044297
          14   0.0439869
          15   0.0440251
          16   0.0437946
          17   0.0437441
          18   0.0438048
          19   0.0435015
          20   0.0436402
