#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      3.6875      3.6875           0
           2     3.68024     3.68387  0.00256408
           3     3.77243     3.71339   0.0241633
           4     3.69493     3.70878   0.0185578
           5     3.72064     3.71115   0.0149973
           6     3.77327      3.7215   0.0156693
           7     3.74988     3.72556   0.0139452
           8      3.7482     3.72839    0.012486
           9     3.69585     3.72477   0.0116101
          10     3.74896     3.72719   0.0106982
          11     3.78926     3.73283   0.0111147
          12     3.75048     3.73431   0.0102853
          13     3.75689     3.73604  0.00963969
          14     3.74486     3.73667  0.00897169
          15     3.73803     3.73676  0.00837404
          16     3.73593     3.73671  0.00785082
          17     3.84101     3.74285  0.00948805
          18     3.78066     3.74495  0.00919059
          19     3.70271     3.74272  0.00897172
          20     3.80106     3.74564  0.00898471
