#   N_BLOCK:  ACCEPTANCE:
           1    0.469212
           2    0.468967
           3     0.46899
           4    0.469341
           5    0.469405
           6    0.469462
           7    0.469434
           8    0.469532
           9    0.469479
          10    0.469509
          11    0.469411
          12    0.469406
          13    0.469338
          14    0.469246
          15    0.469258
          16    0.469171
          17     0.46912
          18    0.469193
          19    0.469207
          20    0.469173
