# VELOCITY:     AVE_POFV:        ERROR:
           1           0       0.243           0
           1    0.253333       2.667           0
           1    0.506667       5.333           0
           1        0.76       7.664           0
           1     1.01333       9.639           0
           1     1.26667      12.568           0
           1        1.52      12.826           0
           1     1.77333      11.933           0
           1     2.02667      11.497           0
           1        2.28       9.696           0
           1     2.53333       7.854           0
           1     2.78667       5.571           0
           1        3.04       4.174           0
           1     3.29333       2.161           0
           1     3.54667       1.701           0
           1         3.8       0.992           0
           1     4.05333       0.514           0
           1     4.30667       0.384           0
           1        4.56       0.255           0
           1     4.81333        0.12           0
           1     5.06667       0.038           0
           1        5.32       0.044           0
           1     5.57333       0.041           0
           1     5.82667        0.05           0
           1        6.08       0.035           0
           1     6.33333           0           0
           1     6.58667           0           0
           1        6.84           0           0
           1     7.09333           0           0
           1     7.34667           0           0
           2           0      0.2155   0.0194454
           2    0.253333       2.091    0.407294
           2    0.506667      5.1725    0.113491
           2        0.76      8.1945     0.37512
           2     1.01333     10.5315    0.631093
           2     1.26667     12.7295    0.114198
           2        1.52      13.279    0.320319
           2     1.77333     11.7105    0.157331
           2     2.02667       11.43   0.0473762
           2        2.28      9.3535    0.242184
           2     2.53333        7.56    0.207889
           2     2.78667      5.4185    0.107834
           2        3.04      3.9685     0.14531
           2     3.29333      2.3885    0.160867
           2     3.54667       1.616   0.0601041
           2         3.8      1.0665   0.0526795
           2     4.05333       0.603   0.0629325
           2     4.30667      0.3075   0.0540937
           2        4.56      0.1785   0.0540937
           2     4.81333      0.0815   0.0272236
           2     5.06667       0.019    0.013435
           2        5.32       0.022   0.0155563
           2     5.57333      0.0205   0.0144957
           2     5.82667       0.025   0.0176777
           2        6.08      0.0175   0.0123744
           2     6.33333           0           0
           2     6.58667           0           0
           2        6.84           0           0
           2     7.09333           0           0
           2     7.34667           0           0
           3           0    0.216667   0.0129986
           3    0.253333     1.95667    0.292845
           3    0.506667       4.855    0.270053
           3        0.76     7.99467    0.298601
           3     1.01333     10.6157    0.426304
           3     1.26667     12.7537   0.0786474
           3        1.52      13.177    0.229212
           3     1.77333     11.9953    0.255124
           3     2.02667       11.69    0.214626
           3        2.28       9.748    0.360308
           3     2.53333     7.74433    0.204598
           3     2.78667       5.373   0.0809211
           3        3.04       3.886    0.117992
           3     3.29333       2.341    0.114042
           3     3.54667       1.531   0.0801388
           3         3.8       1.017   0.0535433
           3     4.05333    0.559667   0.0548824
           3     4.30667       0.259   0.0535599
           3        4.56       0.157   0.0401082
           3     4.81333        0.06   0.0252499
           3     5.06667   0.0126667   0.0103423
           3        5.32   0.0146667   0.0119753
           3     5.57333   0.0136667   0.0111588
           3     5.82667   0.0166667   0.0136083
           3        6.08   0.0116667  0.00952579
           3     6.33333           0           0
           3     6.58667           0           0
           3        6.84           0           0
           3     7.09333           0           0
           3     7.34667           0           0
           4           0     0.24725   0.0282232
           4    0.253333       1.898    0.225434
           4    0.506667     4.82675    0.204012
           4        0.76     7.90375    0.237388
           4     1.01333     10.5273    0.328769
           4     1.26667     12.5645    0.174119
           4        1.52     13.1032     0.18339
           4     1.77333     12.2598    0.298411
           4     2.02667     11.7155    0.162477
           4        2.28       9.834    0.280306
           4     2.53333       7.786    0.157634
           4     2.78667     5.60525    0.210091
           4        3.04     3.91075   0.0910524
           4     3.29333     2.35475   0.0863564
           4     3.54667      1.4785   0.0753637
           4         3.8     0.96625    0.059534
           4     4.05333     0.50175   0.0648849
           4     4.30667     0.24625   0.0416599
           4        4.56        0.14   0.0334907
           4     4.81333     0.06925    0.020562
           4     5.06667       0.015  0.00801561
           4        5.32     0.01475  0.00898175
           4     5.57333     0.01025  0.00887676
           4     5.82667      0.0125   0.0108253
           4        6.08     0.00875  0.00757772
           4     6.33333           0           0
           4     6.58667           0           0
           4        6.84           0           0
           4     7.09333           0           0
           4     7.34667           0           0
           5           0      0.2352    0.025019
           5    0.253333       1.862    0.183199
           5    0.506667      4.7394    0.180946
           5        0.76      7.6936    0.267201
           5     1.01333     10.4916    0.264941
           5     1.26667     12.6274    0.150227
           5        1.52     13.2276    0.184105
           5     1.77333     12.6726    0.439713
           5     2.02667     11.8624    0.184821
           5        2.28      9.8472    0.224556
           5     2.53333      7.6876    0.153783
           5     2.78667      5.5486    0.175545
           5        3.04       3.863   0.0844393
           5     3.29333      2.2518    0.115116
           5     3.54667      1.3928   0.0975223
           5         3.8      0.9534   0.0489944
           5     4.05333      0.5092   0.0523339
           5     4.30667      0.2526   0.0338084
           5        4.56      0.1388    0.026814
           5     4.81333      0.0676   0.0165157
           5     5.06667      0.0368   0.0205259
           5        5.32      0.0136  0.00725865
           5     5.57333      0.0082   0.0073343
           5     5.82667        0.01  0.00894427
           5        6.08       0.007  0.00626099
           5     6.33333           0           0
           5     6.58667           0           0
           5        6.84           0           0
           5     7.09333           0           0
           5     7.34667           0           0
           6           0    0.252167   0.0259727
           6    0.253333       1.911    0.159084
           6    0.506667     4.66867    0.164032
           6        0.76      7.6315    0.229771
           6     1.01333     10.4573    0.222989
           6     1.26667     12.5832     0.13154
           6        1.52     13.3415    0.185335
           6     1.77333     12.5993    0.372482
           6     2.02667     11.8128    0.160527
           6        2.28     9.89733    0.192645
           6     2.53333     7.79183    0.159615
           6     2.78667      5.6645    0.180538
           6        3.04     3.92833   0.0922411
           6     3.29333      2.2265   0.0986711
           6     3.54667       1.381   0.0819793
           6         3.8       0.867   0.0888132
           6     4.05333    0.498833   0.0446265
           6     4.30667    0.247833   0.0285077
           6        4.56      0.1165   0.0302276
           6     4.81333   0.0576667   0.0164818
           6     5.06667   0.0328333    0.017484
           6        5.32   0.0113333  0.00639299
           6     5.57333  0.00683333  0.00623795
           6     5.82667  0.00833333  0.00760726
           6        6.08  0.00583333  0.00532508
           6     6.33333           0           0
           6     6.58667           0           0
           6        6.84           0           0
           6     7.09333           0           0
           6     7.34667           0           0
           7           0    0.265143    0.025297
           7    0.253333       1.955    0.142312
           7    0.506667     4.63671    0.143677
           7        0.76     7.68057    0.202118
           7     1.01333     10.4541    0.191156
           7     1.26667     12.7423    0.185511
           7        1.52     13.3933    0.165936
           7     1.77333     12.6474     0.32236
           7     2.02667     11.7351     0.15526
           7        2.28     9.84871    0.171149
           7     2.53333     7.76071    0.139813
           7     2.78667       5.541    0.192406
           7        3.04     3.85629    0.103443
           7     3.29333     2.21586   0.0851473
           7     3.54667     1.39957    0.072341
           7         3.8    0.862143   0.0762583
           7     4.05333    0.496429    0.038316
           7     4.30667    0.243286   0.0247953
           7        4.56        0.13   0.0287665
           7     4.81333   0.0665714   0.0163568
           7     5.06667   0.0367143    0.015411
           7        5.32       0.015  0.00644601
           7     5.57333  0.00585714  0.00542266
           7     5.82667  0.00714286    0.006613
           7        6.08       0.005   0.0046291
           7     6.33333           0           0
           7     6.58667           0           0
           7        6.84           0           0
           7     7.09333           0           0
           7     7.34667           0           0
           8           0      0.2735   0.0234747
           8    0.253333     1.93537    0.125869
           8    0.506667     4.60725    0.128703
           8        0.76     7.68912    0.177034
           8     1.01333     10.5687    0.198669
           8     1.26667      12.744     0.16233
           8        1.52     13.3871    0.145308
           8     1.77333     12.8441     0.33677
           8     2.02667     11.7133    0.137388
           8        2.28     9.74812    0.176862
           8     2.53333       7.672    0.147827
           8     2.78667     5.48125     0.17739
           8        3.04     3.84325   0.0913301
           8     3.29333     2.25812    0.084345
           8     3.54667       1.404   0.0634338
           8         3.8     0.85575   0.0669934
           8     4.05333       0.482   0.0361412
           8     4.30667        0.25   0.0225866
           8        4.56    0.119125   0.0271486
           8     4.81333      0.0605   0.0153978
           8     5.06667      0.0345   0.0136428
           8        5.32    0.013125  0.00590666
           8     5.57333    0.005125    0.004794
           8     5.82667     0.00625  0.00584634
           8        6.08    0.004375  0.00409244
           8     6.33333           0           0
           8     6.58667           0           0
           8        6.84           0           0
           8     7.09333           0           0
           8     7.34667           0           0
           9           0       0.275   0.0209143
           9    0.253333     1.94089    0.112004
           9    0.506667     4.57533    0.118294
           9        0.76       7.685    0.157412
           9     1.01333     10.6288    0.185442
           9     1.26667     12.7821      0.1487
           9        1.52     13.4093    0.130849
           9     1.77333     12.7959    0.302786
           9     2.02667      11.672    0.128165
           9        2.28     9.66256    0.176702
           9     2.53333     7.68267    0.131786
           9     2.78667     5.47278    0.157882
           9        3.04     3.91122    0.103428
           9     3.29333       2.304   0.0865545
           9     3.54667     1.40644   0.0564327
           9         3.8    0.849889   0.0598055
           9     4.05333       0.479   0.0322498
           9     4.30667    0.231889   0.0263563
           9        4.56    0.113778    0.024653
           9     4.81333   0.0651111   0.0143608
           9     5.06667   0.0306667    0.012654
           9        5.32   0.0116667  0.00542741
           9     5.57333  0.00455556  0.00429502
           9     5.82667  0.00555556  0.00523783
           9        6.08  0.00388889  0.00366648
           9     6.33333           0           0
           9     6.58667           0           0
           9        6.84           0           0
           9     7.09333           0           0
           9     7.34667           0           0
          10           0      0.2665   0.0204774
          10    0.253333      1.9155    0.103642
          10    0.506667      4.5194    0.118955
          10        0.76      7.6961    0.142062
          10     1.01333     10.7015    0.180595
          10     1.26667     12.9216    0.188207
          10        1.52     13.4451    0.122555
          10     1.77333     12.8067      0.2727
          10     2.02667     11.6938    0.117188
          10        2.28      9.6441    0.159993
          10     2.53333      7.6268     0.12991
          10     2.78667      5.4484    0.143964
          10        3.04      3.8516    0.108923
          10     3.29333      2.2799   0.0811849
          10     3.54667      1.3969   0.0515902
          10         3.8       0.842   0.0543428
          10     4.05333      0.4865   0.0298842
          10     4.30667      0.2335   0.0237698
          10        4.56      0.1098   0.0225064
          10     4.81333      0.0636    0.013004
          10     5.06667      0.0276   0.0117543
          10        5.32      0.0105  0.00500849
          10     5.57333      0.0041   0.0038896
          10     5.82667       0.005  0.00474342
          10        6.08      0.0035  0.00332039
          10     6.33333           0           0
          10     6.58667           0           0
          10        6.84           0           0
          10     7.09333           0           0
          10     7.34667           0           0
