#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.317729    0.317729           0
           2    0.317258    0.317494 0.000166292
           3    0.319935    0.318307 0.000673661
           4    0.316501    0.317856 0.000638951
           5    0.316618    0.317608 0.000557072
           6    0.317551    0.317599 0.000464309
           7    0.318916    0.317787  0.00043446
           8    0.314625    0.317392 0.000530274
           9    0.317736     0.31743 0.000472736
          10    0.319731     0.31766 0.000478196
          11    0.319967     0.31787 0.000478523
          12    0.319544    0.318009 0.000458533
          13    0.318192    0.318023 0.000423477
          14    0.316525    0.317916 0.000406528
          15    0.317008    0.317856 0.000383911
          16     0.31763    0.317842 0.000360175
          17    0.320313    0.317987 0.000367167
          18    0.320257    0.318113 0.000367785
          19    0.316062    0.318005  0.00036392
          20      0.3205     0.31813  0.00036648
