#   N_BLOCK:  ACCEPTANCE:
           1    0.386607
           2     0.38663
           3    0.386644
           4    0.386641
           5    0.386635
           6    0.386739
           7    0.386702
           8     0.38667
           9    0.386652
          10    0.386692
          11    0.386748
          12     0.38676
          13    0.386754
          14    0.386699
          15    0.386716
          16    0.386702
          17     0.38673
          18    0.386757
          19    0.386752
          20    0.386768
