#   N_BLOCK:  ACCEPTANCE:
           1    0.237579
           2    0.238193
           3    0.238074
           4    0.238045
           5    0.237977
           6    0.237986
           7    0.238028
           8    0.238047
           9    0.238092
          10    0.238127
          11    0.238125
          12     0.23815
          13    0.238206
          14    0.238223
          15    0.238155
          16    0.238193
          17    0.238202
          18    0.238173
          19    0.238236
          20    0.238229
