#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.36738     2.36738           0
           2     2.38768     2.37753  0.00717804
           3     2.40803      2.3877  0.00958281
           4     2.32951     2.37315   0.0145037
           5     2.44204     2.38693   0.0169266
           6     2.34308     2.37962   0.0156035
           7     2.38247     2.38003   0.0133797
           8     2.33575     2.37449   0.0128011
           9     2.42983     2.38064   0.0127705
          10     2.41779     2.38436   0.0120216
          11     2.30332     2.37699   0.0129914
          12     2.39841     2.37877   0.0120308
          13     2.33191     2.37517    0.011633
          14     2.36255     2.37427   0.0108369
          15     2.31919      2.3706   0.0107185
          16     2.42379     2.37392   0.0105515
          17     2.31813     2.37064   0.0104288
          18     2.52556     2.37925   0.0129219
          19     2.44921     2.38293   0.0127556
          20      2.4669     2.38713   0.0127902
