#   N_BLOCK:  ACCEPTANCE:
           1     0.42999
           2     0.42979
           3    0.429758
           4    0.429734
           5    0.429708
           6    0.429588
           7    0.429557
           8    0.429625
           9    0.429609
          10    0.429632
          11    0.429573
          12    0.429541
          13    0.429452
          14    0.429382
          15    0.429465
          16    0.429403
          17    0.429416
          18    0.429375
          19    0.429328
          20    0.429272
