#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.296321    0.296321           0
           2    0.298814    0.297568 0.000881648
           3    0.295389    0.296841 0.000834921
           4    0.296997     0.29688 0.000627096
           5    0.295026    0.296509 0.000601456
           6    0.296568    0.296519 0.000501294
           7    0.296224    0.296477 0.000431448
           8     0.29503    0.296296   0.0004137
           9    0.297589     0.29644 0.000391867
          10    0.296193    0.296415 0.000353453
          11    0.297758    0.296537  0.00034175
          12    0.293944    0.296321 0.000375428
          13    0.296447    0.296331 0.000346675
          14    0.296805    0.296365 0.000323561
          15    0.297985    0.296473 0.000319523
          16    0.296927    0.296501 0.000300813
          17    0.297274    0.296547 0.000286536
          18    0.295725    0.296501 0.000274233
          19    0.297426     0.29655 0.000264085
          20    0.295271    0.296486 0.000258501
