#   N_BLOCK:  ACCEPTANCE:
           1    0.186325
           2    0.186338
           3    0.186617
           4     0.18672
           5     0.18702
           6     0.18714
           7    0.187293
           8    0.187191
           9     0.18718
          10    0.187332
          11    0.187248
          12    0.187237
          13    0.187197
          14    0.187202
          15    0.187274
          16    0.187155
          17    0.187126
          18    0.187129
          19    0.187172
          20    0.187112
