#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.204732    0.204732           0
           2    0.200685    0.202708  0.00143078
           3     0.20594    0.203786  0.00129758
           4    0.204763     0.20403 0.000995925
           5    0.202933    0.203811 0.000820546
           6     0.20007    0.203187 0.000889591
           7    0.203234    0.203194 0.000762531
           8     0.20136    0.202965 0.000700838
           9    0.199002    0.202524 0.000748594
          10    0.203325    0.202604 0.000678006
          11    0.203093    0.202649 0.000617825
          12    0.203566    0.202725 0.000571046
          13    0.205551    0.202943 0.000566989
          14    0.205047    0.203093 0.000546053
          15    0.198408    0.202781 0.000592284
          16    0.202972    0.202793 0.000555387
          17     0.20379    0.202851 0.000525805
          18    0.201152    0.202757 0.000504993
          19    0.199171    0.202568 0.000512475
          20    0.201349    0.202507 0.000490461
