#   N_BLOCK:  ACCEPTANCE:
           1    0.527895
           2    0.527842
           3    0.527699
           4    0.527723
           5    0.527839
           6    0.527816
           7    0.527673
           8     0.52768
           9    0.527771
          10    0.527832
          11    0.527769
          12    0.527785
          13    0.527827
          14    0.527782
          15    0.527771
          16    0.527717
          17    0.527698
          18    0.527744
          19    0.527799
          20    0.527837
