#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426485    0.426485           0
           2    0.410976    0.418731  0.00548333
           3    0.421238    0.419566  0.00371868
           4     0.42566     0.42109  0.00308534
           5     0.41808    0.420488  0.00252632
           6    0.403139    0.417596  0.00337626
           7    0.426887    0.418924  0.00314399
           8    0.424763    0.419653  0.00283445
           9    0.427758    0.420554   0.0026587
          10    0.420765    0.420575  0.00239291
          11    0.413615    0.419942  0.00225748
          12    0.412481     0.41932  0.00215329
          13    0.441177    0.421002  0.00256126
          14    0.415473    0.420607  0.00240857
          15    0.409055    0.419837  0.00236792
          16    0.416627    0.419636   0.0022284
          17    0.413133    0.419254   0.0021299
          18    0.425465    0.419599  0.00203933
          19    0.416333    0.419427  0.00193923
          20    0.420766    0.419494  0.00184343
