price (call;dir), error(call;dir), price (call;dir), error(call;dir) price (call;dis), error(call;dis), price (call;dis), error(call;dis) 
14.8947,0.077244,5.45096,0.0364788,15.0517,0.0653904,5.44903,0.0366567
14.8925,0.076252,5.45196,0.0360096,15.0598,0.0650267,5.44724,0.036215
14.8843,0.0757062,5.45454,0.0356324,15.0581,0.0641994,5.4541,0.0363932
14.8872,0.0747877,5.4607,0.0357067,15.0556,0.0634202,5.45491,0.0359327
14.9051,0.0759649,5.46187,0.0352713,15.0505,0.0628156,5.45614,0.0354962
14.9079,0.0750597,5.45855,0.0349853,15.0525,0.0620555,5.45664,0.0350532
14.9065,0.0741395,5.45757,0.0345646,15.0647,0.0625021,5.4566,0.0346178
14.9049,0.0732475,5.45292,0.0344559,15.0569,0.0622338,5.45609,0.0341969
14.9168,0.0733386,5.44694,0.0345594,15.0695,0.0627589,5.45564,0.0337853
14.9292,0.0735125,5.44605,0.0341569,15.0648,0.0621846,5.45776,0.0334479
14.9344,0.0728255,5.44778,0.0337967,15.0688,0.0615806,5.45705,0.0330596
14.9293,0.0721525,5.44961,0.0334517,15.0665,0.0609061,5.45364,0.0328504
14.9365,0.0716772,5.44877,0.0330756,15.0676,0.0602128,5.45327,0.0324727
14.9433,0.0711853,5.44795,0.0327078,15.0633,0.0596807,5.45489,0.032142
14.9496,0.0706654,5.44958,0.0323788,15.0839,0.0625133,5.45187,0.0319219
14.9542,0.070028,5.44825,0.0320446,15.0925,0.0624056,5.44554,0.0321937
14.9473,0.0695981,5.45083,0.0317958,15.0888,0.0618254,5.44827,0.0319548
14.9441,0.0689143,5.4556,0.031807,15.0845,0.0612989,5.44868,0.0316083
14.9346,0.0688271,5.4621,0.0321288,15.0781,0.0609767,5.45082,0.0313393
14.9432,0.0686398,5.4578,0.0320756,15.0736,0.0604897,5.45436,0.0312055
14.9567,0.0692309,5.44951,0.0327992,15.0704,0.0599374,5.45652,0.0309511
14.9501,0.0688265,5.45159,0.0325219,15.0685,0.0593397,5.452,0.0309592
14.9505,0.068115,5.45398,0.0322734,15.0708,0.0587704,5.45636,0.0309474
14.9447,0.0676731,5.44918,0.032301,15.0586,0.0594401,5.46086,0.0309582
14.9425,0.0670199,5.45086,0.0320175,15.0542,0.0590023,5.45976,0.0306635
14.9486,0.0666231,5.44762,0.0318612,15.0588,0.05859,5.46157,0.0304091
