#   N_BLOCK:  ACCEPTANCE:
           1    0.232963
           2    0.233111
           3    0.233698
           4    0.233905
           5    0.233949
           6    0.233991
           7    0.233882
           8    0.233773
           9    0.233977
          10    0.233901
          11    0.233827
          12    0.233823
          13    0.233907
          14     0.23389
          15    0.233942
          16    0.233945
          17    0.233946
          18    0.234056
          19    0.234106
          20    0.233948
