#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.434312    0.434312           0
           2    0.409988     0.42215      0.0086
           3     0.42461     0.42297  0.00577228
           4    0.438308    0.426805  0.00545612
           5    0.432345    0.427913  0.00447603
           6    0.423421    0.427164   0.0037921
           7     0.42107    0.426294  0.00334882
           8    0.416436    0.425061  0.00314876
           9    0.426013    0.425167  0.00280067
          10    0.415804    0.424231  0.00267253
          11    0.424867    0.424289   0.0024302
          12    0.432327    0.424959  0.00231817
          13    0.430261    0.425366  0.00217544
          14    0.421779     0.42511  0.00203509
          15    0.423833    0.425025   0.0019012
          16    0.439058    0.425902  0.00197433
          17    0.428545    0.426058   0.0018643
          18    0.438001    0.426721  0.00187509
          19    0.435184    0.427166  0.00182855
          20    0.415884    0.426602  0.00182206
