#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.010214    0.010214           0
           2    -0.01418   -0.001983  0.00862458
           3    0.041886     0.01264   0.0132519
           4   -0.012126   0.0064485   0.0112931
           5   -0.002428   0.0046732  0.00917295
           6   -0.012104    0.001877  0.00805905
           7    0.008696  0.00285114  0.00696638
           8    0.017384  0.00466775  0.00632801
           9    0.010434  0.00530844  0.00565724
          10   -0.012336    0.003544  0.00535961
          11    0.006816  0.00384145  0.00488062
          12   -0.038472 0.000315333  0.00560475
          13   -0.013964-0.000783077  0.00528015
          14   -0.023656 -0.00241686  0.00514956
          15   -0.011946 -0.00305213  0.00484528
          16   -0.004346   -0.003133  0.00454313
          17   -0.030146   -0.004722  0.00454528
          18    0.017116 -0.00350878  0.00445174
          19    0.049122-0.000738737   0.0050056
          20    0.010284  -0.0001876  0.00478557
