#   N_BLOCK:  ACCEPTANCE:
           1    0.448785
           2    0.448583
           3    0.448746
           4    0.448711
           5    0.448748
           6    0.448716
           7     0.44863
           8    0.448754
           9    0.448817
          10    0.448824
          11    0.448868
          12    0.448833
          13    0.448735
          14    0.448604
          15    0.448658
          16     0.44856
          17    0.448571
          18     0.44861
          19    0.448629
          20    0.448586
